ID,State_UT,Places
N_01,"Himachal Pradesh",Manali
N_02,Maharashtra,Amboli
N_03,"Himachal Pradesh",Dalhousie
N_04,Uttarakhand,Nainital
N_05,Uttarakhand,Chamoli
N_06,Rajasthan,Karauli
N_07,Maharashtra,Lonavala
N_08,Maharashtra,Ajanta
N_09,Maharashtra,Igatpuri
N_10,"Himachal Pradesh",Kasauli
N_11,"Himachal Pradesh",Bir
N_12,Uttarakhand,Rishikesh
N_13,Uttarakhand,Mussoorie
N_14,"Himachal Pradesh",Kufri
N_15,"Jammu and Kashmir",Gulmarg
N_16,Punjab,Amritsar
N_17,Ladakh,Leh
N_18,"Uttar Pradesh",Sarnath
N_19,Haryana,Jyotisar
N_20,"Himachal Pradesh",Spiti
N_21,"Uttar Pradesh",Agra
N_22,"Madhya Pradesh",Gwalior
N_23,Maharashtra,Satara
N_24,"Madhya Pradesh",Pachmarhi
N_25,"Jammu and Kashmir",Pahalgam
