ID,State_UT,Places
S_01,"Tamil Nadu",Ooty
S_02,Goa,Vanxim
S_03,"Tamil Nadu",Valparai
S_04,Karnataka,Murdeshwar
S_05,Kerala,Wayanad
S_06,Karnataka,Hampi
S_07,Kerala,Kannur
S_08,Andhra,"Nallamala Hills"
S_09,Kerala,Munnar
S_10,Andhra,Lambasingi
S_11,"Tamil Nadu",Megamalai
S_12,Karnataka,"St. Mary's Islands"
S_13,Karnataka,Gokarna
S_14,Andhra,"Araku Valley"
S_15,Andhra,Ahobilam
S_16,Kerala,Idukki
S_17,"Tamil Nadu",Kolukkumalai
S_18,Goa,"Divar Island"
S_19,"Tamil Nadu","Pamban Island"
S_20,Kerala,Ponmudi
S_21,"Andaman and Nicobar","Havelock Island"
S_22," Puducherry",Mahe
S_23,"Tamil Nadu",Kodaikanal
S_24,Lakshadweep,Kalpeni
S_25,Lakshadweep,Kavaratti
